addressId-street_segId,location
801384-1236,3600 BLK EASTERN AVE NE
302547-4375,3400 14TH ST NW
805186-4451,1200 MOUNT OLIVET ROAD NE
907189-669,18TH AND D ST SE
40707-4688,3100 MONROE ST NE
310702-5447,W/B 1400 CONSTITUTION AVE NW
802005-1606,5200 CONNECTICUT AVE NW
907402-1577,17TH ST NW @ CORCORAN ST NW
814705-12674,1200 EMERSON ST NW
5811-9598,600 E ST NE
805796-4963,1200 W ST SE
285676-91,700 14TH ST S/B NW
910843-956,N/B 16TH ST @ GALLATIN ST NW
294857-13973,200 FLORIDA AVE NE
905484-7964,MONTANA AVE NE @ W ST NE
285149-9408,5300 MCARTHUR BLVD NW
235817-6363,2400 16TH ST NW
810334-8853,1000 E ST NW
242495-7187,2100 PENNSYLVANIA AVE NW
288940-13000,75 NEW YORK AVE NE
901910-873,4TH ST SW @ M ST SW
807118-6099,1000 BLK M ST SE
903416-3025,6TH & CHESAPEAKE ST SE
900040-237,13TH ST NW @ O ST NW
905340-227,BLADENSBURG RD NE @ H ST NE
253249-9536,6300 GEORGIA AVE NW
906620-10266,12TH ST NE @ G ST NE
301562-1993,2700 MLK JR AVE SE
906320-7379,WISCONSIN AVE @ PROSPECT ST NW
901086-339,CHAMPLAIN ST NW @ COLUMBIA RD NW
35244-4456,3400 19TH ST SE
902008-970,NEW JERSEY AVE NW @ NEW YORK AVE NW
907470-9707,W/B SPRING RD AT HOLMEAD PLACE NW
907092-579,19TH ST NW @ M ST NW
285983-2623,125 MICHIGAN AVE NE
901039-287,2ND & PA AVE SE
271944-5065,3307 M ST NW
802747-2127,1200 6TH ST SW
268847-3936,5500 MACARTHUR BLVD NW
218866-4556,2500 MASSACHUSETTS AVE NW
906245-2411,KENNEDY ST NW @ 9TH ST NW
901532-540,17TH ST @ PINEY BRANCH PKWY NW
904842-3844,CALIFORNIA ST & MASSACHUSETTS AV NW
911248-10821,TAYLOR ST NW @ ARKANSAS AVE NW
911258-558,O ST @ POTOMAC ST NW
284501-11026,2800 GEORGIA AVE NW
905723-1901,34TH ST NW @ FULTON ST NW
903286-2825,18TH ST AND PENNSYLVANIA AVE NW
903569-3441,23RD & CONSTITUTION AVE NW
903897-2733,4 & I ST SE
902129-4049,MISSOURI AVE & 8TH ST NW
5810-12930,600 DIVISION AVE NE
903074-2582,NORTH CAROLINA AVE SE @ 3RD ST SE
801755-1457,1200 4 ST NW
905543-1313,6TH AND L ST NE
901414-732,15TH ST NW @ NEW YORK AVE NW
907373-1780,BLADENSBURG RD NE @ T ST NE
806619-5680,4700 NH BURROUGHS AVE NE
903092-2616,NEW HAMPSHIRE AVE NW @ DUPONT CIR *
901238-1071,18TH ST NE @ FRANKLIN ST NE
806449-5540,3000 14 ST NW
68781-8550,1300 MICHIGAN AVE NE
904462-4773,EASTERN AVE NE @ TUCKERMAN ST NE
903662-3603,7TH & E ST NW
271896-7676,3200 M ST NW
900808-83,1ST ST & BRYANT ST E/B NW
815322-13219,1800 BLK SAVANNAH ST SE
226849-80,1700 N CAPITOL ST NW
900611-454,CONSTITUTION AVE NW @ 16TH ST NW
254393-2114,821 LONGFELLOW ST NW
240609-3046,1600 13 ST NW
288752-11458,600 MARYLAND AVE NE
243124-3906,1700 R ST NW
807801-6689,190 D ST NE
242489-,2100 K ST NW
300895-12182,1200 F ST NW
294545-1446,2500 BENNING RD NE
285-404,700 H ST NE
242884-1833,1400 W ST NW
35265-13275,3400 BLK MLK JR AVE SE
903805-5568,M ST AT DELAWARE AVE SW
807341-6295,1200 HALF ST SW
275589-10279,2400 PENNSYLVANIA AVE NW
253299-1409,6400 GEORGIA AVE NW
