location,address_id,streetsegid,xcoord,ycoord,lat,long,ticket_type,accident_indicator,agency_id,issue_date,issue_time,violation_code,violation_desc
1800 7 ST N/B NW,300573,9699,398075.79,138510.78,38.91446100000002,-77.0221935,MOVING,0,3,2016-02-17,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
KANSAS AVE & HAMILTON ST NW,904426,4727,398474.68300454,142811.06192196,38.95317000000001,-77.017563,MOVING,0,4,2016-02-08,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
S/B 1800 14TH ST NW,310208,8974,397206.7,138487.58,38.914254,-77.03221049999999,MOVING,0,25,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
S/B 1200 14TH ST NW,297577,11399,397191.39,137684.62,38.907017999999994,-77.032386,MOVING,0,25,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
200 9TH ST NW,812756,10963,397920.37,136126.07,38.89402013248976,-77.02402449092854,MOVING,0,81,2016-02-03,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
2500 WISCONSIN AVE NW,271776,13111,393579.15,139452.54,38.92293000000001,-77.074047,MOVING,0,2,2016-02-21,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3901 GEORGIA AVE NW,252524,7634,397878.7,141217.82,38.938851,-77.02447049999999,MOVING,0,4,2016-02-02,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
800 H ST NE,151153,11093,400454.84,136953.3,38.900439000000006,-76.9947615,MOVING,0,1,2016-02-04,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3400 GEORGIA AVE NW,233060,12569,397908.04,140489.06,38.932078372701305,-77.02372527336043,MOVING,0,3,2016-02-11,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3300 BENNING RD NE,300816,6467,403946.62,136559.69,38.896884,-76.954509,MOVING,0,25,2016-02-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1200 WEST VIRGINIA AVE NE,803675,3292,400714.07,137480.11,38.90485968018489,-76.9921951480733,MOVING,0,5,2016-02-05,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1300 H STREET NE,286021,10010,401030.77,136948.92,38.900394000000006,-76.9881195,MOVING,0,1,2016-02-10,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
20TH ST NW @ S ST NW,907042,1717,396108.25001034,138470.45314993,38.914092000000004,-77.04489149999999,MOVING,0,2,2016-02-01,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
EASTBOUND 1200 BLK MT OLIVET RD NE,805186,4451,401427.16,137980.1,38.910507837298866,-76.98564830842133,MOVING,0,32,2016-02-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1900 14 ST NW,279446,9137,397206.45,138648.92,38.91570300000001,-77.032215,MOVING,0,3,2016-02-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
5600 SB CONN AVE NW,263862,8257,393416.98,144130.19,38.965059,-77.075964,MOVING,0,2,2016-02-27,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
HALF ST SW @ P ST SW,900812,85,399075.8500131,133800.8900096,38.872026000000005,-77.010633,MOVING,0,1,2016-02-14,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1800 HARVARD ST NW,807131,6110,396396.92,139923.95,38.927175700067814,-77.041963741698,MOVING,0,6,2016-02-02,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
1ST ST NE @ NEW YORK AVE NE,904935,46,399489.48662148,137843.27087735,38.908457999999996,-77.005881,MOVING,0,1,2016-02-19,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
3600 16 ST NW,234116,4201,396806.79,140814.54,38.935215,-77.03683649999999,MOVING,0,3,2016-02-29,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
IRVING ST NW @ GEORGIA AVE NW,902773,2181,397985.85999608,140129.31999947,38.92903200000001,-77.02323299999999,MOVING,0,1,2016-02-26,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
400 8TH ST NW,238147,11946,397984.56,136353.83,38.8963935,-77.03873099999998,MOVING,0,1,2016-02-23,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
400 RHODE ISLAND AVE NE,288064,1541,399979.85,139150.19,38.920230000000004,-77.000238,MOVING,0,81,2016-02-19,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
MONROE ST NE @ 12TH ST NE,904879,1629,400780.47001468,140517.21999983,38.93253300000001,-76.991004,MOVING,0,5,2016-02-07,00:00:00,T591,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
